1,2,3,4,5,6
37,40,54,49,1,30
18,6,49,61,20,11
16,39,21,2,3,27
53,18,34,58,44,61
25,40,38,59,10,55
5,18,48,43,34,17
47,3,61,57,23,61
20,38,51,52,6,19
56,4,58,26,4,7
26,40,36,30,48,36
47,25,54,12,29,2
51,22,50,13,49,3
15,25,22,51,36,36
47,17,28,14,32,49
59,16,9,51,2,30
56,43,38,22,40,18
7,16,34,54,39,10
26,29,55,41,55,22
26,48,1,19,31,51
60,16,21,59,20,11
41,45,31,30,23,5
18,34,18,49,12,47
50,10,19,49,54,39
60,39,35,54,4,54
25,4,28,32,20,20
38,60,56,18,48,43
31,37,50,58,55,30
18,15,28,41,20,43
45,51,1,19,12,58
27,34,19,40,43,44
52,31,36,41,49,45
33,47,16,19,50,58
1,25,54,32,2,4
11,58,54,16,47,36
43,34,26,7,61,44
59,34,12,59,2,3
49,33,55,29,58,2
55,27,38,14,20,12
8,43,3,35,9,34
8,42,7,12,3,35
45,31,39,33,19,44
25,13,39,8,17,60
31,54,1,40,48,2
51,35,34,21,33,6
56,30,11,47,9,32
2,51,18,13,4,10
5,41,39,1,15,40
18,37,36,25,48,60
42,36,3,36,42,55
6,29,54,4,18,52
41,21,54,23,40,21
28,43,14,34,37,53
61,9,28,55,7,10
1,42,43,20,18,56
39,2,22,1,17,12
43,21,10,15,6,14
26,42,44,39,47,56
53,10,24,21,25,53
42,61,11,46,19,33
6,34,31,10,31,50
44,56,59,50,9,59
21,40,47,49,49,20
21,24,60,60,43,44
40,29,59,56,45,43
54,8,31,16,55,18
60,52,51,43,54,24
29,45,58,27,45,58
39,41,34,38,2,27
7,52,26,11,44,21
18,30,36,16,51,34
27,45,35,11,9,23
17,52,36,52,10,22
45,35,24,52,16,56
7,48,48,58,26,50
49,44,39,39,56,53
7,25,55,27,31,49
31,22,27,31,43,53
57,6,27,11,8,55
36,49,38,37,6,36
